==================================================================================
Lottery Ticket Experiment (Replicate 1)
----------------------------------------------------------------------------------
Dataset Hyperparameters
    * dataset_name => mnist
    * batch_size => 60
Model Hyperparameters
    * model_name => mnist_lenet_300_100
    * model_init => kaiming_normal
    * batchnorm_init => uniform
Training Hyperparameters
    * optimizer_name => adam
    * lr => 0.0012
    * training_steps => 50ep
Pruning Hyperparameters
    * pruning_strategy => fisher_pruning
    * pruning_fraction => 0.2
    * dataset_name => mnist
    * num_data_points => 128
Output Location: open_lth_data/lottery_cd1a99b626911386b7d5dcd4f84285bc/replicate_1/level_0/main
==================================================================================

----------------------------------------------------------------------------------
Pruning Level 0
----------------------------------------------------------------------------------
test	ep 004	it 000	loss 0.092	acc 97.38%	ex 10000	time 20.10s
test	ep 005	it 000	loss 0.100	acc 96.81%	ex 10000	time 21.32s
test	ep 006	it 000	loss 0.080	acc 97.82%	ex 10000	time 19.31s
test	ep 007	it 000	loss 0.087	acc 97.84%	ex 10000	time 18.07s
test	ep 008	it 000	loss 0.106	acc 97.61%	ex 10000	time 17.96s
test	ep 009	it 000	loss 0.091	acc 97.78%	ex 10000	time 18.02s
test	ep 010	it 000	loss 0.105	acc 97.56%	ex 10000	time 22.35s
test	ep 011	it 000	loss 0.110	acc 97.65%	ex 10000	time 18.08s
test	ep 012	it 000	loss 0.112	acc 97.67%	ex 10000	time 18.06s
test	ep 013	it 000	loss 0.126	acc 97.52%	ex 10000	time 18.06s
test	ep 014	it 000	loss 0.112	acc 97.92%	ex 10000	time 18.10s
test	ep 015	it 000	loss 0.123	acc 97.78%	ex 10000	time 17.86s
test	ep 016	it 000	loss 0.121	acc 97.79%	ex 10000	time 21.97s
test	ep 017	it 000	loss 0.114	acc 97.97%	ex 10000	time 17.88s
test	ep 018	it 000	loss 0.128	acc 97.73%	ex 10000	time 18.00s
test	ep 019	it 000	loss 0.118	acc 97.95%	ex 10000	time 17.91s
test	ep 020	it 000	loss 0.173	acc 97.18%	ex 10000	time 17.79s
test	ep 021	it 000	loss 0.152	acc 97.72%	ex 10000	time 20.43s
test	ep 022	it 000	loss 0.132	acc 97.88%	ex 10000	time 20.00s
test	ep 023	it 000	loss 0.140	acc 97.68%	ex 10000	time 17.91s
test	ep 024	it 000	loss 0.133	acc 97.83%	ex 10000	time 17.89s
test	ep 025	it 000	loss 0.134	acc 97.84%	ex 10000	time 18.09s
test	ep 026	it 000	loss 0.139	acc 97.91%	ex 10000	time 17.84s
test	ep 027	it 000	loss 0.159	acc 97.76%	ex 10000	time 22.16s
test	ep 028	it 000	loss 0.130	acc 97.92%	ex 10000	time 18.16s
